mm39	mm39 gene type	hg38	hg38 gene type	orthology type
ENSMUSG00000035383.8	pc	ENSG00000183395.5	pc	many-to-many
ENSMUSG00000116642.2	other	ENSG00000205331.5	other	one-to-many
ENSMUSG00000089782.2	other	ENSG00000233956.1	other	many-to-many
ENSMUSG00000126118.1	lncRNA	ENSG00000147059.9	pc	one-to-many
ENSMUSG00000083039.2	other	ENSG00000269800.1	other	one-to-many
ENSMUSG00000112003.2	other	ENSG00000233012.3	other	many-to-many
ENSMUSG00000030138.9	pc	ENSG00000291205.2	lncRNA	many-to-many
ENSMUSG00000030180.16	pc	ENSG00000073614.13	pc	one-to-many
ENSMUSG00000047371.8	pc	ENSG00000261459.1	pc	many-to-many
ENSMUSG00000040195.12	pc	ENSG00000304975.1	lncRNA	one-to-many
ENSMUSG00000079180.5	pc	ENSG00000215846.7	other	one-to-many
ENSMUSG00000094985.3	pc	ENSG00000173769.4	pc	one-to-one
ENSMUSG00000020849.14	pc	ENSG00000108953.17	pc	many-to-many
ENSMUSG00000077144.3	ncRNA	ENSG00000233016.10	lncRNA	many-to-many
ENSMUSG00000095841.3	other	ENSG00000293358.1	lncRNA	many-to-many
ENSMUSG00000130694.1	lncRNA	ENSG00000243069.9	lncRNA	one-to-many
ENSMUSG00000074155.3	pc	ENSG00000167754.13	pc	one-to-one
ENSMUSG00000046811.4	pc	ENSG00000280254.1	lncRNA	one-to-many
ENSMUSG00000060685.5	pc	ENSG00000219186.2	other	many-to-many
ENSMUSG00000006941.6	pc	ENSG00000291315.1	pc	many-to-many
ENSMUSG00000025468.16	pc	ENSG00000130643.9	pc	one-to-one
ENSMUSG00000102135.2	other	ENSG00000215457.5	other	many-to-many
ENSMUSG00000073411.13	pc	ENSG00000288587.1	lncRNA	many-to-many
ENSMUSG00000043183.19	pc	ENSG00000290968.1	lncRNA	one-to-many
ENSMUSG00000058050.6	other	ENSG00000244183.1	other	many-to-many
ENSMUSG00000075225.17	pc	ENSG00000293541.2	lncRNA	many-to-many
ENSMUSG00000104699.2	other	ENSG00000270458.1	other	many-to-many
