# Orthology table created using a modified version of ConnectOR (https://github.com/cobRNA/ConnectOR-optimized/)
# by Sasti Gopal Das
H_gene_id	H_gene_type	M_gene_id	M_gene_type	gencode_versions
ENSG00000226680.2	lncRNA	ENSMUSG00000093588.1	other	many-to-many
ENSG00000205930.8	lncRNA	ENSMUSG00000085398.1	lncRNA	one-to-one
ENSG00000228649.8	lncRNA	ENSMUSG00000105987.4	lncRNA	one-to-many
ENSG00000236065.2	lncRNA	ENSMUSG00000083382.1	other	many-to-many
ENSG00000284116.1	lncRNA	ENSMUSG00000106072.1	other	many-to-many
ENSG00000282944.1	lncRNA	ENSMUSG00000024055.14	pc	many-to-many
ENSG00000281721.1	lncRNA	ENSMUSG00000115149.1	lncRNA	one-to-one
ENSG00000214432.9	lncRNA	ENSMUSG00000032363.15	pc	many-to-many
ENSG00000231764.8	lncRNA	ENSMUSG00000098326.1	ncRNA	many-to-many
ENSG00000183242.11	lncRNA	ENSMUSG00000099166.1	ncRNA	many-to-many
ENSG00000260160.1	lncRNA	ENSMUSG00000058093.13	pc	many-to-many
ENSG00000232324.1	lncRNA	ENSMUSG00000078816.9	pc	many-to-many
ENSG00000265408.1	lncRNA	ENSMUSG00000062826.7	pc	many-to-many
ENSG00000254860.5	lncRNA	ENSMUSG00000082365.2	other	many-to-many
ENSG00000266560.5	lncRNA	ENSMUSG00000055746.9	pc	many-to-many
ENSG00000266498.1	lncRNA	ENSMUSG00000043648.7	pc	many-to-many
ENSG00000272508.1	lncRNA	ENSMUSG00000039376.13	pc	many-to-many
ENSG00000278202.1	lncRNA	ENSMUSG00000040936.15	pc	many-to-many
ENSG00000268823.2	lncRNA	ENSMUSG00000036087.18	pc	many-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000098029.2	other	many-to-many
ENSG00000224559.2	lncRNA	ENSMUSG00000047696.16	pc	many-to-many
ENSG00000259001.3	lncRNA	ENSMUSG00000071470.4	pc	one-to-many
ENSG00000189295.13	lncRNA	ENSMUSG00000063932.5	pc	many-to-many
ENSG00000284084.1	lncRNA	ENSMUSG00000024066.8	pc	many-to-many
ENSG00000225057.2	lncRNA	ENSMUSG00000041459.15	pc	one-to-many
ENSG00000273328.5	lncRNA	ENSMUSG00000111465.1	lncRNA	many-to-many
ENSG00000269893.6	lncRNA	ENSMUSG00000064956.1	ncRNA	many-to-many
ENSG00000270704.3	lncRNA	ENSMUSG00000089375.1	ncRNA	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000096758.1	ncRNA	many-to-many
ENSG00000255146.1	lncRNA	ENSMUSG00000091926.2	pc	many-to-many
ENSG00000272478.1	lncRNA	ENSMUSG00000048603.8	lncRNA	one-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000082843.2	other	many-to-many
ENSG00000224078.13	lncRNA	ENSMUSG00000096302.1	ncRNA	many-to-many
ENSG00000274253.4	lncRNA	ENSMUSG00000032504.15	pc	many-to-many
ENSG00000273472.1	lncRNA	ENSMUSG00000074228.2	pc	one-to-one
ENSG00000226702.1	lncRNA	ENSMUSG00000084966.1	lncRNA	one-to-one
ENSG00000233016.6	lncRNA	ENSMUSG00000089130.1	ncRNA	many-to-many
ENSG00000226950.6	lncRNA	ENSMUSG00000106943.1	lncRNA	one-to-many
ENSG00000279886.1	lncRNA	ENSMUSG00000017713.9	pc	one-to-many
ENSG00000261069.3	lncRNA	ENSMUSG00000095618.1	ncRNA	many-to-many
ENSG00000214900.9	lncRNA	ENSMUSG00000098194.1	other	many-to-many
ENSG00000214900.9	lncRNA	ENSMUSG00000097950.1	other	many-to-many
ENSG00000254400.1	lncRNA	ENSMUSG00000090449.1	other	many-to-many
ENSG00000229852.2	lncRNA	ENSMUSG00000110829.1	other	many-to-many
ENSG00000281453.1	lncRNA	ENSMUSG00000039239.14	pc	one-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000086225.1	other	many-to-many
ENSG00000226562.3	lncRNA	ENSMUSG00000048440.15	pc	many-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000098042.1	other	many-to-many
ENSG00000267827.5	lncRNA	ENSMUSG00000058186.13	pc	many-to-many
ENSG00000273840.1	lncRNA	ENSMUSG00000031533.4	pc	many-to-many
ENSG00000239219.2	lncRNA	ENSMUSG00000097786.3	lncRNA	many-to-many
ENSG00000251126.2	lncRNA	ENSMUSG00000100523.1	other	many-to-many
ENSG00000226856.5	lncRNA	ENSMUSG00000101700.1	lncRNA	one-to-one
ENSG00000267328.1	lncRNA	ENSMUSG00000081226.1	other	many-to-many
ENSG00000273313.1	lncRNA	ENSMUSG00000045078.12	pc	many-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000097941.1	other	many-to-many
ENSG00000272693.3	lncRNA	ENSMUSG00000029446.14	pc	one-to-many
ENSG00000231934.1	lncRNA	ENSMUSG00000055013.15	pc	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000077339.1	ncRNA	many-to-many
ENSG00000265479.6	lncRNA	ENSMUSG00000079109.11	pc	one-to-many
ENSG00000275210.1	lncRNA	ENSMUSG00000096735.3	pc	many-to-many
ENSG00000214922.9	lncRNA	ENSMUSG00000106876.1	other	many-to-many
ENSG00000282199.1	lncRNA	ENSMUSG00000020945.13	pc	many-to-many
ENSG00000214900.9	lncRNA	ENSMUSG00000097985.1	other	many-to-many
ENSG00000214900.9	lncRNA	ENSMUSG00000097946.1	other	many-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000112621.1	other	many-to-many
ENSG00000264215.1	lncRNA	ENSMUSG00000093315.1	ncRNA	many-to-many
ENSG00000244479.7	lncRNA	ENSMUSG00000107469.1	other	many-to-many
ENSG00000219665.8	lncRNA	ENSMUSG00000078889.11	pc	many-to-many
ENSG00000272446.5	lncRNA	ENSMUSG00000039891.6	pc	one-to-many
ENSG00000211683.3	lncRNA	ENSMUSG00000104975.1	other	many-to-many
ENSG00000243349.2	lncRNA	ENSMUSG00000107280.1	pc	many-to-many
ENSG00000229852.2	lncRNA	ENSMUSG00000085115.1	other	many-to-many
ENSG00000278849.1	lncRNA	ENSMUSG00000005442.13	pc	many-to-many
ENSG00000248540.2	lncRNA	ENSMUSG00000082529.1	other	many-to-many
ENSG00000232973.11	lncRNA	ENSMUSG00000104390.1	other	many-to-many
ENSG00000269043.1	lncRNA	ENSMUSG00000021510.11	pc	many-to-many
ENSG00000248671.7	lncRNA	ENSMUSG00000113008.1	other	many-to-many
ENSG00000228470.1	lncRNA	ENSMUSG00000026604.17	pc	one-to-many
ENSG00000269877.3	lncRNA	ENSMUSG00000106340.1	ncRNA	one-to-many
ENSG00000277147.4	lncRNA	ENSMUSG00000038170.15	pc	many-to-many
ENSG00000277757.4	lncRNA	ENSMUSG00000026727.10	pc	one-to-many
ENSG00000264112.1	lncRNA	ENSMUSG00000018379.17	pc	many-to-many
ENSG00000223546.6	lncRNA	ENSMUSG00000111438.1	other	many-to-many
ENSG00000255410.1	lncRNA	ENSMUSG00000080950.1	other	many-to-many
ENSG00000235919.4	lncRNA	ENSMUSG00000081907.1	other	many-to-many
ENSG00000284634.1	lncRNA	ENSMUSG00000110696.1	lncRNA	many-to-many
ENSG00000243926.1	lncRNA	ENSMUSG00000082328.1	other	many-to-many
ENSG00000231110.1	lncRNA	ENSMUSG00000107212.1	other	many-to-many
ENSG00000267383.6	lncRNA	ENSMUSG00000055560.8	pc	many-to-many
ENSG00000279360.1	lncRNA	ENSMUSG00000029468.17	pc	one-to-many
ENSG00000261156.6	lncRNA	ENSMUSG00000109297.1	lncRNA	one-to-one
ENSG00000259444.1	lncRNA	ENSMUSG00000021280.9	pc	one-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000077697.1	ncRNA	many-to-many
