# Disease orthology table created using a modified version of ConnectOR (https://github.com/cobRNA/ConnectOR-optimized/)
# by Sasti Gopal Das
H_gene_symbol	H_gene_id	H_gene_type	M_gene_id	M_gene_type	orthology_type	gencode_versions
HULC	ENSG00000285219.5	lncRNA	ENSMUSG00000114841.3	lncRNA	one-to-many	GENCODE.v47vsM36
LINC00588	ENSG00000215117.7	lncRNA	ENSMUSG00000113811.3	lncRNA	many-to-many	GENCODE.v47vsM36
MIF-AS1	ENSG00000218537.1	lncRNA	ENSMUSG00000120396.2	lncRNA	many-to-many	GENCODE.v47vsM36
LINC01518	ENSG00000233515.3	lncRNA	ENSMUSG00000121903.1	lncRNA	many-to-many	GENCODE.v47vsM36
ENSG00000273244	ENSG00000273244.1	lncRNA	ENSMUSG00000084951.3	lncRNA	many-to-many	GENCODE.v47vsM36
GUSBP11	ENSG00000228315.13	lncRNA	ENSMUSG00000142947.1	lncRNA	many-to-many	GENCODE.v47vsM36
MEF2C-AS1	ENSG00000248309.10	lncRNA	ENSMUSG00000130969.1	lncRNA	many-to-many	GENCODE.v47vsM36
ENSG00000226530	ENSG00000226530.5	lncRNA	ENSMUSG00000097342.3	lncRNA	one-to-one	GENCODE.v47vsM36
ENSG00000215304	ENSG00000215304.3	lncRNA	ENSMUSG00000121891.2	lncRNA	many-to-many	GENCODE.v47vsM36
LINC00313	ENSG00000185186.11	lncRNA	ENSMUSG00000120937.2	lncRNA	one-to-one	GENCODE.v47vsM36
LINC01815	ENSG00000235519.4	lncRNA	ENSMUSG00000104222.3	lncRNA	many-to-many	GENCODE.v47vsM36
RRS1-DT	ENSG00000246145.2	lncRNA	ENSMUSG00000079671.11	lncRNA	one-to-many	GENCODE.v47vsM36
LINC00502	ENSG00000224851.3	lncRNA	ENSMUSG00000120701.2	lncRNA	one-to-many	GENCODE.v47vsM36
LINC02039	ENSG00000248107.3	lncRNA	ENSMUSG00000135004.1	lncRNA	one-to-one	GENCODE.v47vsM36
TRAM2-AS1	ENSG00000225791.8	lncRNA	ENSMUSG00000121505.2	lncRNA	one-to-many	GENCODE.v47vsM36
LINC01606	ENSG00000253301.7	lncRNA	ENSMUSG00000129944.1	lncRNA	many-to-many	GENCODE.v47vsM36
LINC01588	ENSG00000214900.14	lncRNA	ENSMUSG00000102095.3	lncRNA	many-to-many	GENCODE.v47vsM36
LINC02580	ENSG00000230587.6	lncRNA	ENSMUSG00000141033.1	lncRNA	many-to-many	GENCODE.v47vsM36
BACE1-AS	ENSG00000278768.5	lncRNA	ENSMUSG00000111128.2	lncRNA	one-to-many	GENCODE.v47vsM36
