# Orthology table created using a modified version of ConnectOR (https://github.com/cobRNA/ConnectOR-optimized/)					
# by Sasti Gopal Das					
H_gene_id	H_gene_type	M_gene_id	M_gene_type	orthology_type	gencode_versions
ENSG00000236466.3	lncRNA	ENSMUSG00000122298.1	lncRNA	one-to-one	GENCODE.v47vsM36
ENSG00000234912.12	lncRNA	ENSMUSG00000086859.7	lncRNA	many-to-many	GENCODE.v47vsM37
ENSG00000264589.6	lncRNA	ENSMUSG00000140391.1	lncRNA	one-to-many	GENCODE.v47vsM38
ENSG00000309953.1	lncRNA	ENSMUSG00000122583.1	lncRNA	one-to-one	GENCODE.v47vsM39
ENSG00000277837.1	lncRNA	ENSMUSG00000143856.1	lncRNA	one-to-one	GENCODE.v47vsM40
ENSG00000303088.1	lncRNA	ENSMUSG00000125093.1	lncRNA	one-to-one	GENCODE.v47vsM41
ENSG00000258235.2	lncRNA	ENSMUSG00000104335.2	lncRNA	one-to-one	GENCODE.v47vsM42
ENSG00000288736.3	lncRNA	ENSMUSG00000106224.3	lncRNA	one-to-many	GENCODE.v47vsM43
ENSG00000287925.2	lncRNA	ENSMUSG00000102900.2	lncRNA	one-to-many	GENCODE.v47vsM44
ENSG00000226159.3	lncRNA	ENSMUSG00000134034.1	lncRNA	one-to-one	GENCODE.v47vsM45
ENSG00000238005.5	lncRNA	ENSMUSG00000110697.4	lncRNA	one-to-many	GENCODE.v47vsM46
ENSG00000229557.2	lncRNA	ENSMUSG00000115372.3	lncRNA	one-to-one	GENCODE.v47vsM47
ENSG00000250850.4	lncRNA	ENSMUSG00000086211.2	lncRNA	one-to-half	GENCODE.v47vsM48
ENSG00000298520.1	lncRNA	ENSMUSG00000121100.2	lncRNA	one-to-one	GENCODE.v47vsM49
ENSG00000266900.1	lncRNA	ENSMUSG00000104044.2	lncRNA	one-to-many	GENCODE.v47vsM50
ENSG00000266821.1	lncRNA	ENSMUSG00000126750.1	lncRNA	one-to-one	GENCODE.v47vsM51
ENSG00000310372.1	lncRNA	ENSMUSG00000128001.1	lncRNA	one-to-one	GENCODE.v47vsM52
ENSG00000304750.1	lncRNA	ENSMUSG00000106874.4	lncRNA	one-to-one	GENCODE.v47vsM53
ENSG00000237928.7	lncRNA	ENSMUSG00000085710.3	lncRNA	one-to-one	GENCODE.v47vsM54
ENSG00000293053.1	lncRNA	ENSMUSG00000126438.1	lncRNA	many-to-many	GENCODE.v47vsM55
ENSG00000294705.1	lncRNA	ENSMUSG00000135330.1	lncRNA	one-to-one	GENCODE.v47vsM56
ENSG00000236790.8	lncRNA	ENSMUSG00000113669.4	lncRNA	many-to-many	GENCODE.v47vsM57
ENSG00000254887.3	lncRNA	ENSMUSG00000131600.1	lncRNA	one-to-many	GENCODE.v47vsM58
ENSG00000224409.2	lncRNA	ENSMUSG00000087575.9	lncRNA	one-to-many	GENCODE.v47vsM59
ENSG00000255750.7	lncRNA	ENSMUSG00000085414.3	lncRNA	one-to-one	GENCODE.v47vsM60
ENSG00000231851.7	lncRNA	ENSMUSG00000140926.1	lncRNA	one-to-one	GENCODE.v47vsM61
ENSG00000251191.9	lncRNA	ENSMUSG00000110015.3	lncRNA	one-to-many	GENCODE.v47vsM62
ENSG00000286072.2	lncRNA	ENSMUSG00000138672.1	lncRNA	one-to-one	GENCODE.v47vsM63
ENSG00000301022.1	lncRNA	ENSMUSG00000131897.1	lncRNA	one-to-one	GENCODE.v47vsM64
ENSG00000289447.3	lncRNA	ENSMUSG00000085016.4	lncRNA	one-to-one	GENCODE.v47vsM65
ENSG00000294123.1	lncRNA	ENSMUSG00000125467.1	lncRNA	one-to-one	GENCODE.v47vsM66
ENSG00000267506.8	lncRNA	ENSMUSG00000085336.4	lncRNA	one-to-many	GENCODE.v47vsM67
ENSG00000279873.3	lncRNA	ENSMUSG00000120263.2	lncRNA	one-to-many	GENCODE.v47vsM68
ENSG00000287844.2	lncRNA	ENSMUSG00000142827.1	lncRNA	one-to-many	GENCODE.v47vsM69
ENSG00000287713.2	lncRNA	ENSMUSG00000124942.1	lncRNA	one-to-many	GENCODE.v47vsM70
ENSG00000234753.8	lncRNA	ENSMUSG00000085932.2	lncRNA	one-to-many	GENCODE.v47vsM71
ENSG00000293271.2	lncRNA	ENSMUSG00000074248.9	lncRNA	one-to-many	GENCODE.v47vsM72
ENSG00000310256.1	lncRNA	ENSMUSG00000113359.3	lncRNA	one-to-one	GENCODE.v47vsM73
ENSG00000285427.1	lncRNA	ENSMUSG00000126090.1	lncRNA	one-to-many	GENCODE.v47vsM74
ENSG00000298609.1	lncRNA	ENSMUSG00000136498.1	lncRNA	one-to-many	GENCODE.v47vsM75
ENSG00000254907.2	lncRNA	ENSMUSG00000045464.8	lncRNA	one-to-one	GENCODE.v47vsM76
ENSG00000229697.3	lncRNA	ENSMUSG00000101356.4	lncRNA	one-to-many	GENCODE.v47vsM77
ENSG00000234572.2	lncRNA	ENSMUSG00000123902.1	lncRNA	one-to-many	GENCODE.v47vsM78
ENSG00000203739.7	lncRNA	ENSMUSG00000136366.1	lncRNA	one-to-many	GENCODE.v47vsM79
ENSG00000236668.4	lncRNA	ENSMUSG00000087539.3	lncRNA	one-to-one	GENCODE.v47vsM80
ENSG00000267175.6	lncRNA	ENSMUSG00000124123.1	lncRNA	one-to-one	GENCODE.v47vsM81
ENSG00000253438.6	lncRNA	ENSMUSG00000137450.1	lncRNA	one-to-many	GENCODE.v47vsM82
ENSG00000296748.1	lncRNA	ENSMUSG00000142272.1	lncRNA	one-to-one	GENCODE.v47vsM83
ENSG00000225649.8	lncRNA	ENSMUSG00000121786.2	lncRNA	one-to-many	GENCODE.v47vsM84
ENSG00000303583.1	lncRNA	ENSMUSG00000140117.1	lncRNA	one-to-one	GENCODE.v47vsM85
ENSG00000307908.1	lncRNA	ENSMUSG00000127919.1	lncRNA	one-to-one	GENCODE.v47vsM86
ENSG00000258661.2	lncRNA	ENSMUSG00000089894.4	lncRNA	one-to-one	GENCODE.v47vsM87
ENSG00000259827.1	lncRNA	ENSMUSG00000128885.1	lncRNA	many-to-many	GENCODE.v47vsM88
ENSG00000286271.4	lncRNA	ENSMUSG00000127630.1	lncRNA	many-to-many	GENCODE.v47vsM89
ENSG00000299737.1	lncRNA	ENSMUSG00000094893.3	lncRNA	one-to-one	GENCODE.v47vsM90
ENSG00000267213.5	lncRNA	ENSMUSG00000136922.1	lncRNA	one-to-many	GENCODE.v47vsM91
ENSG00000255733.7	lncRNA	ENSMUSG00000112230.5	lncRNA	many-to-many	GENCODE.v47vsM92
ENSG00000299413.1	lncRNA	ENSMUSG00000096221.5	lncRNA	one-to-one	GENCODE.v47vsM93
ENSG00000304803.1	lncRNA	ENSMUSG00000120487.2	lncRNA	one-to-one	GENCODE.v47vsM94
ENSG00000305415.1	lncRNA	ENSMUSG00000097745.3	lncRNA	one-to-one	GENCODE.v47vsM95
ENSG00000289075.3	lncRNA	ENSMUSG00000093587.6	lncRNA	one-to-many	GENCODE.v47vsM96
ENSG00000295552.1	lncRNA	ENSMUSG00000139650.1	lncRNA	one-to-one	GENCODE.v47vsM97
ENSG00000246790.4	lncRNA	ENSMUSG00000111167.4	lncRNA	one-to-one	GENCODE.v47vsM98
ENSG00000223930.10	lncRNA	ENSMUSG00000102807.2	lncRNA	one-to-many	GENCODE.v47vsM99
ENSG00000234690.8	lncRNA	ENSMUSG00000117361.3	lncRNA	many-to-many	GENCODE.v47vsM100
ENSG00000285486.2	lncRNA	ENSMUSG00000087330.3	lncRNA	one-to-one	GENCODE.v47vsM101
ENSG00000287587.1	lncRNA	ENSMUSG00000124580.1	lncRNA	one-to-one	GENCODE.v47vsM102
ENSG00000279369.1	lncRNA	ENSMUSG00000075480.3	lncRNA	one-to-many	GENCODE.v47vsM103
ENSG00000309879.1	lncRNA	ENSMUSG00000129840.1	lncRNA	many-to-many	GENCODE.v47vsM104
ENSG00000235601.2	lncRNA	ENSMUSG00000132612.1	lncRNA	one-to-one	GENCODE.v47vsM105
ENSG00000229021.3	lncRNA	ENSMUSG00000137087.1	lncRNA	many-to-many	GENCODE.v47vsM106
ENSG00000287292.2	lncRNA	ENSMUSG00000142731.1	lncRNA	one-to-many	GENCODE.v47vsM107
ENSG00000307237.1	lncRNA	ENSMUSG00000120727.2	lncRNA	one-to-one	GENCODE.v47vsM108
ENSG00000277235.1	lncRNA	ENSMUSG00000139458.1	lncRNA	one-to-one	GENCODE.v47vsM109
ENSG00000206028.2	lncRNA	ENSMUSG00000097986.4	lncRNA	one-to-one	GENCODE.v47vsM110
ENSG00000259134.8	lncRNA	ENSMUSG00000142625.1	lncRNA	one-to-one	GENCODE.v47vsM111
ENSG00000302972.1	lncRNA	ENSMUSG00000142876.1	lncRNA	one-to-many	GENCODE.v47vsM112
ENSG00000303702.1	lncRNA	ENSMUSG00000085247.3	lncRNA	one-to-one	GENCODE.v47vsM113
ENSG00000280007.1	lncRNA	ENSMUSG00000086527.2	lncRNA	one-to-one	GENCODE.v47vsM114
ENSG00000293607.1	lncRNA	ENSMUSG00000094732.5	lncRNA	one-to-half	GENCODE.v47vsM115
ENSG00000250546.7	lncRNA	ENSMUSG00000143141.1	lncRNA	one-to-one	GENCODE.v47vsM116
ENSG00000299453.1	lncRNA	ENSMUSG00000127521.1	lncRNA	many-to-many	GENCODE.v47vsM117
ENSG00000258676.6	lncRNA	ENSMUSG00000074067.12	lncRNA	one-to-many	GENCODE.v47vsM118
ENSG00000299197.1	lncRNA	ENSMUSG00000122900.1	lncRNA	one-to-one	GENCODE.v47vsM119
ENSG00000231943.12	lncRNA	ENSMUSG00000137730.1	lncRNA	one-to-many	GENCODE.v47vsM120
ENSG00000293905.1	lncRNA	ENSMUSG00000120326.2	lncRNA	many-to-many	GENCODE.v47vsM121
ENSG00000293946.1	lncRNA	ENSMUSG00000122718.1	lncRNA	one-to-one	GENCODE.v47vsM122
ENSG00000298947.1	lncRNA	ENSMUSG00000126425.1	lncRNA	one-to-one	GENCODE.v47vsM123
ENSG00000303531.1	lncRNA	ENSMUSG00000116894.3	lncRNA	one-to-one	GENCODE.v47vsM124
ENSG00000275371.1	lncRNA	ENSMUSG00000055323.8	lncRNA	one-to-many	GENCODE.v47vsM125
ENSG00000289103.3	lncRNA	ENSMUSG00000074466.15	lncRNA	one-to-one	GENCODE.v47vsM126
ENSG00000293597.3	lncRNA	ENSMUSG00000104011.4	lncRNA	many-to-many	GENCODE.v47vsM127
ENSG00000301820.1	lncRNA	ENSMUSG00000128869.1	lncRNA	many-to-many	GENCODE.v47vsM128
ENSG00000225746.15	lncRNA	ENSMUSG00000098202.3	lncRNA	many-to-many	GENCODE.v47vsM129
ENSG00000291075.2	lncRNA	ENSMUSG00000137730.1	lncRNA	many-to-many	GENCODE.v47vsM130
ENSG00000229980.6	lncRNA	ENSMUSG00000131089.1	lncRNA	many-to-many	GENCODE.v47vsM131
ENSG00000234807.10	lncRNA	ENSMUSG00000135398.1	lncRNA	one-to-many	GENCODE.v47vsM132
ENSG00000300200.1	lncRNA	ENSMUSG00000141985.1	lncRNA	one-to-one	GENCODE.v47vsM133
ENSG00000254211.7	lncRNA	ENSMUSG00000085772.10	lncRNA	one-to-many	GENCODE.v47vsM134
ENSG00000284830.1	lncRNA	ENSMUSG00000136068.1	lncRNA	one-to-one	GENCODE.v47vsM135
ENSG00000228804.6	lncRNA	ENSMUSG00000138621.1	lncRNA	one-to-one	GENCODE.v47vsM136
ENSG00000306654.1	lncRNA	ENSMUSG00000125365.1	lncRNA	one-to-many	GENCODE.v47vsM137
ENSG00000267506.8	lncRNA	ENSMUSG00000125115.1	lncRNA	one-to-many	GENCODE.v47vsM138
ENSG00000248724.7	lncRNA	ENSMUSG00000111035.4	lncRNA	one-to-many	GENCODE.v47vsM139
ENSG00000289365.2	lncRNA	ENSMUSG00000133222.1	lncRNA	one-to-one	GENCODE.v47vsM140
ENSG00000294663.1	lncRNA	ENSMUSG00000137706.1	lncRNA	one-to-one	GENCODE.v47vsM141
ENSG00000224715.2	lncRNA	ENSMUSG00000130035.1	lncRNA	one-to-one	GENCODE.v47vsM142
ENSG00000233008.9	lncRNA	ENSMUSG00000106023.3	lncRNA	one-to-many	GENCODE.v47vsM143
ENSG00000259974.6	lncRNA	ENSMUSG00000086141.10	lncRNA	one-to-many	GENCODE.v47vsM144
ENSG00000302408.1	lncRNA	ENSMUSG00000135158.1	lncRNA	many-to-many	GENCODE.v47vsM145
ENSG00000232044.9	lncRNA	ENSMUSG00000094002.7	lncRNA	one-to-one	GENCODE.v47vsM146
ENSG00000301941.1	lncRNA	ENSMUSG00000132227.1	lncRNA	one-to-one	GENCODE.v47vsM147
ENSG00000226950.8	lncRNA	ENSMUSG00000106943.5	lncRNA	many-to-many	GENCODE.v47vsM148
ENSG00000250222.5	lncRNA	ENSMUSG00000086245.2	lncRNA	one-to-many	GENCODE.v47vsM149
