# Disease orthology table created using a modified version of ConnectOR (https://github.com/cobRNA/ConnectOR-optimized/)
# by Sasti Gopal Das
H_gene_symbol	H_gene_id	H_gene_type	M_gene_id	M_gene_type	orthology_type	gencode_versions
IFNG-AS1	ENSG00000255733.5	lncRNA	ENSMUSG00000112230.1	lncRNA	one-to-one	GENCODE.v27vsM16
DANCR	ENSG00000226950.6	lncRNA	ENSMUSG00000053656.6	lncRNA	many-to-many	GENCODE.v27vsM16
LINC01087	ENSG00000224559.2	lncRNA	ENSMUSG00000079171.3	lncRNA	many-to-many	GENCODE.v27vsM16
APTR	ENSG00000214293.8	lncRNA	ENSMUSG00000101013.1	lncRNA	one-to-one	GENCODE.v27vsM16
CASC11	ENSG00000249375.7	lncRNA	ENSMUSG00000103610.1	lncRNA	one-to-one	GENCODE.v27vsM16
PACRG-AS3	ENSG00000225683.5	lncRNA	ENSMUSG00000089633.1	lncRNA	one-to-one	GENCODE.v27vsM16
CDK6-AS1	ENSG00000237819.5	lncRNA	ENSMUSG00000097709.8	lncRNA	one-to-many	GENCODE.v27vsM16
SNHG29	ENSG00000175061.17	lncRNA	ENSMUSG00000085170.1	lncRNA	many-to-many	GENCODE.v27vsM16
MIR4422HG	ENSG00000231090.1	lncRNA	ENSMUSG00000104192.1	lncRNA	one-to-one	GENCODE.v27vsM16
PAUPAR	ENSG00000281880.1	lncRNA	ENSMUSG00000102424.2	lncRNA	one-to-one	GENCODE.v27vsM16
NORAD	ENSG00000260032.1	lncRNA	ENSMUSG00000104222.1	lncRNA	many-to-many	GENCODE.v27vsM16
ZFHX2-AS1	ENSG00000157306.14	lncRNA	ENSMUSG00000100162.2	lncRNA	many-to-many	GENCODE.v27vsM16
LINC01206	ENSG00000242512.8	lncRNA	ENSMUSG00000114832.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC01080	ENSG00000281721.1	lncRNA	ENSMUSG00000115149.1	lncRNA	one-to-one	GENCODE.v27vsM16
DCTN1-AS1	ENSG00000237737.5	lncRNA	ENSMUSG00000085782.2	lncRNA	one-to-one	GENCODE.v27vsM16
LINC01763	ENSG00000225446.2	lncRNA	ENSMUSG00000101237.1	lncRNA	one-to-one	GENCODE.v27vsM16
GAS5	ENSG00000234741.7	lncRNA	ENSMUSG00000053332.13	lncRNA	one-to-many	GENCODE.v27vsM16
HAGLROS	ENSG00000226363.3	lncRNA	ENSMUSG00000085015.1	lncRNA	one-to-one	GENCODE.v27vsM16
MEIS1-AS2	ENSG00000230749.4	lncRNA	ENSMUSG00000087507.1	lncRNA	one-to-one	GENCODE.v27vsM16
HOTAIRM1	ENSG00000233429.9	lncRNA	ENSMUSG00000087658.2	lncRNA	one-to-many	GENCODE.v27vsM16
ANKRD62P1-PARP4P3	ENSG00000189295.13	lncRNA	ENSMUSG00000072723.10	lncRNA	many-to-many	GENCODE.v27vsM16
LINC00607	ENSG00000235770.5	lncRNA	ENSMUSG00000101848.1	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000267827	ENSG00000267827.5	lncRNA	ENSMUSG00000085101.7	lncRNA	many-to-many	GENCODE.v27vsM16
LINC00710	ENSG00000229240.8	lncRNA	ENSMUSG00000103412.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC00574	ENSG00000231690.2	lncRNA	ENSMUSG00000100536.1	lncRNA	one-to-many	GENCODE.v27vsM16
SOCS2-AS1	ENSG00000246985.7	lncRNA	ENSMUSG00000097766.1	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000235020	ENSG00000235020.4	lncRNA	ENSMUSG00000103050.1	lncRNA	one-to-many	GENCODE.v27vsM16
TARID	ENSG00000227954.6	lncRNA	ENSMUSG00000112397.1	lncRNA	one-to-one	GENCODE.v27vsM16
HOXB-AS3	ENSG00000233101.10	lncRNA	ENSMUSG00000084844.3	lncRNA	one-to-many	GENCODE.v27vsM16
HOXB-AS3	ENSG00000233101.10	lncRNA	ENSMUSG00000085645.1	lncRNA	one-to-many	GENCODE.v27vsM16
KLF3-AS1	ENSG00000231160.9	lncRNA	ENSMUSG00000097640.7	lncRNA	one-to-one	GENCODE.v27vsM16
LINC01475	ENSG00000257582.5	lncRNA	ENSMUSG00000092250.1	lncRNA	one-to-one	GENCODE.v27vsM16
MALAT1	ENSG00000251562.7	lncRNA	ENSMUSG00000092341.2	lncRNA	many-to-many	GENCODE.v27vsM16
LINC01588	ENSG00000214900.9	lncRNA	ENSMUSG00000074415.12	lncRNA	many-to-many	GENCODE.v27vsM16
ENSG00000275210	ENSG00000275210.1	lncRNA	ENSMUSG00000112212.1	lncRNA	many-to-many	GENCODE.v27vsM16
MIR100HG	ENSG00000255248.7	lncRNA	ENSMUSG00000111158.1	lncRNA	one-to-many	GENCODE.v27vsM16
GATA2-AS1	ENSG00000244300.2	lncRNA	ENSMUSG00000108010.1	lncRNA	one-to-one	GENCODE.v27vsM16
OR2A1-AS1	ENSG00000244479.7	lncRNA	ENSMUSG00000108190.1	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000278576	ENSG00000278576.1	lncRNA	ENSMUSG00000113196.1	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000259580	ENSG00000259580.1	lncRNA	ENSMUSG00000100046.1	lncRNA	many-to-many	GENCODE.v27vsM16
LINC01606	ENSG00000253301.5	lncRNA	ENSMUSG00000085180.1	lncRNA	many-to-many	GENCODE.v27vsM16
IQCH-AS1	ENSG00000259673.5	lncRNA	ENSMUSG00000086539.8	lncRNA	one-to-one	GENCODE.v27vsM16
LINC01603	ENSG00000253479.5	lncRNA	ENSMUSG00000101314.1	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000279437	ENSG00000279437.1	lncRNA	ENSMUSG00000109088.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC01436	ENSG00000231106.2	lncRNA	ENSMUSG00000093514.3	lncRNA	one-to-half	GENCODE.v27vsM16
